大会名,フェーズ,日付,最終順位,合計点,試技タイプ,試技回数,全体順序,獲得点数,試技後合計得点,トリック名,障害物詳細,成否,トリック難易度,試技前の順位,試技後の順位,試技前暫定一位得点,試技前１位選手名,逆転必要点,失敗後のトライ
competition_name,phase,date,final_rank,total_score,try_type,try_number,absolute_try_order,score,score_after_try,trick_name,obstacle_detail,success_fail,trick_difficulty,rank_before_try,rank_after_try,leader_total_score_before_try,leader_name,score_for_top,try_after_fail
Olympic Games Paris 2024,final,2024-07-29,1,281.14,run,1,1,89.90,89.90,N/A,Course Flow ,SUCCESS,,N/A,2,90.11,Sora Shirai,0.21,FALSE
Olympic Games Paris 2024,final,2024-07-29,1,281.14,run ,2,2,68.54,89.90,N/A,Course Flow ,SUCCESS,,2,4,93.37,Nyjah Huston,3.47,FALSE
Olympic Games Paris 2024,final,2024-07-29,1,281.14,trick,1,3,94.16,184.06,,,SUCCESS,,4,3,186.16,Nyjah Huston,2.10,FALSE
Olympic Games Paris 2024,final,2024-07-29,1,281.14,trick,2,4,0.00,184.06,,,FAIL,,3,3,279.38,Nyjah Huston,95.32,FALSE
Olympic Games Paris 2024,final,2024-07-29,1,281.14,trick,3,5,0.00,184.06,,,FAIL,,3,5,279.38,Nyjah Huston,95.32,TRUE
Olympic Games Paris 2024,final,2024-07-29,1,281.14,trick,4,6,0.00,184.06,,,FAIL,,5,7,281.04,Jagger Eaton,96.98,TRUE
Olympic Games Paris 2024,final,2024-07-29,1,281.14,trick,5,7,97.08,281.14,nollie 270 backside bluntslide,,SUCCESS,5,7,1,281.04,Jagger Eaton,96.98,TRUE
Olympic Games Tokyo 2020,final,2021-07-25,1,371.80,run,1,1,80.20,80.20,N/A,Course Flow ,SUCCESS,,N/A,3,89.80,Kelvin Hoefler,9.60,FALSE
Olympic Games Tokyo 2020,final,2021-07-25,1,371.80,run,2,2,67.70,147.90,N/A,Course Flow ,SUCCESS,,3,4,178.20,Kelvin Hoefler,30.30,FALSE
Olympic Games Tokyo 2020,final,2021-07-25,1,371.80,trick,1,3,90.30,238.20,,,SUCCESS,,4,2,261.80,Kelvin Hoefler,23.60,FALSE
Olympic Games Tokyo 2020,final,2021-07-25,1,371.80,trick,2,4,0.00,238.20,,,FAIL,,2,3,261.80,Kelvin Hoefler,23.60,FALSE
Olympic Games Tokyo 2020,final,2021-07-25,1,371.80,trick,3,5,93.50,331.70,,,SUCCESS,,3,2,353.50,Jagger Eaton,21.80,TRUE
Olympic Games Tokyo 2020,final,2021-07-25,1,371.80,trick,4,6,95.00,359.00,,,SUCCESS,,2,1,353.50,Jagger Eaton,-5.50,FALSE
Olympic Games Tokyo 2020,final,2021-07-25,1,371.80,trick,5,7,93.00,371.80,,,SUCCESS,,2,1,361.50,Kelvin Hoefler,-10.30,FALSE